price,rating,title
$20.23,4.2 out of 5 stars,"['Eat Better, Feel Better: My Recipes for Wellness and Healing, Inside and Out']"
$29.49,4.7 out of 5 stars,"[""The King Arthur Baking Company's All-Purpose Baker's Companion (Revised and Updated)""]"
$21.00,4.8 out of 5 stars,['Modern Comfort Food: A Barefoot Contessa Cookbook']
$21.00,4.7 out of 5 stars,['Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza [A Cookbook]']
$24.99,4.7 out of 5 stars,['World Travel: An Irreverent Guide']
$20.45,4.8 out of 5 stars,['Metabolismo Ultra Poderoso (Spanish Edition)']
$16.17,4.6 out of 5 stars,['How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need']
$19.02,4.8 out of 5 stars,"[""Caste (Oprah's Book Club): The Origins of Our Discontents""]"
$17.98,4.8 out of 5 stars,['The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together']
$0.00,4.9 out of 5 stars,['A Promised Land']
$0.00,4.9 out of 5 stars,"['Four Hundred Souls: A Community History of African America, 1619-2019']"
$16.80,4.4 out of 5 stars,['This Is the Fire: What I Say to My Friends About Racism']
$18.13,4.6 out of 5 stars,"[""Walk in My Combat Boots: True Stories from America's Bravest Warriors""]"
$0.00,4.8 out of 5 stars,['Extreme Ownership: How U.S. Navy SEALs Lead and Win']
$0.00,4.8 out of 5 stars,['Becoming']
$16.69,4.7 out of 5 stars,"['The Daughters of Kobani: A Story of Rebellion, Courage, and Justice']"
$8.39,4.7 out of 5 stars,"[""Man's Search for Meaning""]"
$8.39,4.8 out of 5 stars,['How to Be an Antiracist']
$8.16,4.5 out of 5 stars,"[""White Fragility: Why It's So Hard for White People to Talk About Racism""]"
$14.99,4.8 out of 5 stars,"[""We Will Not Be Silenced: Responding Courageously to Our Culture's Assault on Christianity""]"
$14.69,4.8 out of 5 stars,['Live Not by Lies: A Manual for Christian Dissidents']
$0.00,4.6 out of 5 stars,['Sapiens: A Brief History of Humankind']
$14.99,4.7 out of 5 stars,"['The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz']"
$6.68,4.9 out of 5 stars,['Little Leaders: Bold Women in Black History (Vashti Harrison)']
$6.68,4.8 out of 5 stars,"[""The Warmth of Other Suns: The Epic Story of America's Great Migration""]"
$6.68,4.8 out of 5 stars,['The Choice: Embrace the Possible']
$17.99,4.7 out of 5 stars,"['Princeton Review AP World History: Modern Premium Prep, 2021: 6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)']"
$17.99,4.8 out of 5 stars,['The Color of Law: A Forgotten History of How Our Government Segregated America']
$7.46,4.7 out of 5 stars,['Night (Night)']
$16.85,4.9 out of 5 stars,['The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today']
$6.12,4.8 out of 5 stars,"[""Little Blue Truck's Springtime""]"
$15.99,4.8 out of 5 stars,['What Is God Like?']
$15.99,4.8 out of 5 stars,"[""Biscuit's Pet & Play Easter: A Touch & Feel Book""]"
$11.25,4.4 out of 5 stars,"[""Liam the Leprechaun Loves to Fart: A Rhyming Read Aloud Story Book For Kids About a Farting Leprechaun, Perfect for St. Patrick's Day (Farting Adventures)""]"
$16.99,4.9 out of 5 stars,['Elijah - Bible Study Book: Faith and Fire']
$16.99,4.9 out of 5 stars,['Gentle and Lowly: The Heart of Christ for Sinners and Sufferers']
$16.99,4.7 out of 5 stars,['Get Out of Your Head: Stopping the Spiral of Toxic Thoughts']
$16.99,4.8 out of 5 stars,['God Gave Us Easter (God Gave Us Series)']
$15.61,4.6 out of 5 stars,"['Dusk, Night, Dawn: On Revival and Courage']"
$22.62,5.0 out of 5 stars,['Hope in Times of Fear: The Resurrection and the Meaning of Easter']
$12.03,4.9 out of 5 stars,['Jesus Calling: Enjoying Peace in His Presence (with Scripture References)']
$9.95,4.8 out of 5 stars,"['Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal']"
$11.29,4.7 out of 5 stars,"['Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life']"
$10.77,4.7 out of 5 stars,['The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness']
$10.77,4.8 out of 5 stars,['Llama Llama Easter Egg']
$42.48,4.9 out of 5 stars,['One Step Closer Bible NLT']
$9.21,4.7 out of 5 stars,['The Bible in 52 Weeks: A Yearlong Bible Study for Women']
$9.21,4.9 out of 5 stars,"[""The Beginner's Bible: Timeless Children's Stories""]"
$21.18,4.7 out of 5 stars,"['The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race']"
$17.50,4.9 out of 5 stars,['Just as I Am: A Memoir']
$79.99,4.7 out of 5 stars,['The Lyrics: 1956 to the Present']
$19.09,4.7 out of 5 stars,['Professional Troublemaker: The Fear-Fighter Manual']
$19.60,4.7 out of 5 stars,['Educated: A Memoir']
$19.60,4.5 out of 5 stars,['Quit Like a Woman: The Radical Choice to Not Drink in a Culture Obsessed with Alcohol']
$18.24,4.8 out of 5 stars,['Between Two Kingdoms: A Memoir of a Life Interrupted']
$11.27,4.7 out of 5 stars,['The Untethered Soul: The Journey Beyond Yourself']
$11.27,4.7 out of 5 stars,['Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series)']
$16.89,5.0 out of 5 stars,"['Set Boundaries, Find Peace: A Guide to Reclaiming Yourself']"
$16.29,4.6 out of 5 stars,['Unwinding Anxiety: New Science Shows How to Break the Cycles of Worry and Fear to Heal Your Mind']
$16.29,4.7 out of 5 stars,['You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life']
$16.29,4.8 out of 5 stars,"['The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living']"
$0.00,4.8 out of 5 stars,['Think Like a Monk: Train Your Mind for Peace and Purpose Every Day']
$0.00,4.7 out of 5 stars,['Codependent No More: How to Stop Controlling Others and Start Caring for Yourself']
$0.00,4.7 out of 5 stars,['Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love']
$9.59,4.7 out of 5 stars,"['Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are']"
$12.53,4.8 out of 5 stars,['The 7 Habits of Highly Effective People (30th Anniversary Edition)']
$12.53,4.7 out of 5 stars,"[""The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are""]"
$8.66,4.9 out of 5 stars,['Home Body']
$42.48,4.7 out of 5 stars,['Be Here Now']
$11.87,4.5 out of 5 stars,"['The Home Edit Workbook: Prompts, Activities, and Gold Stars to Help You Contain the Chaos']"
$11.87,4.8 out of 5 stars,['The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set)']
$11.87,4.7 out of 5 stars,['Zen as F*ck (Zen as F*ck Journals)']
$23.99,3.8 out of 5 stars,['Lucky: How Joe Biden Barely Won the Presidency']
$23.49,4.4 out of 5 stars,['The Barbizon: The Hotel That Set Women Free']
$23.49,4.5 out of 5 stars,"[""The Fourth Turning: An American Prophecy - What the Cycles of History Tell Us About America's Next Rendezvous with Destiny""]"
$14.97,4.8 out of 5 stars,"[""The Know Your Bill of Rights Book: Don't Lose Your Constitutional Rights--Learn Them!""]"
$14.97,4.7 out of 5 stars,['Come as You Are (The Surprising New Science that Will Transform Your Sex Life)']
$20.87,4.2 out of 5 stars,['Come Fly the World: The Jet-Age Story of the Women of Pan Am']
$21.24,4.8 out of 5 stars,"['The Black Church: This Is Our Story, This Is Our Song']"
$21.24,4.8 out of 5 stars,['Anne Frank: The Diary of a Young Girl']
$19.69,4.7 out of 5 stars,"['Princeton Review AP U.S. History Premium Prep, 2021: 6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)']"
$13.98,4.8 out of 5 stars,['Concrete Rose']
$25.00,4.7 out of 5 stars,['Mike Nichols: A Life']
$9.49,4.7 out of 5 stars,['Astrophysics for People in a Hurry']
$0.00,4.5 out of 5 stars,"[""Talking to Strangers: What We Should Know About the People We Don't Know""]"
$17.99,4.8 out of 5 stars,['The Devil You Know: A Black Power Manifesto']
$20.76,4.1 out of 5 stars,"[""Socialists Don't Sleep: Christians Must Rise or America Will Fall""]"
$20.76,4.9 out of 5 stars,['The Fire Next Time']
$28.70,4.8 out of 5 stars,['History of the World Map by Map']
$28.70,4.8 out of 5 stars,"['The Rise and Triumph of the Modern Self: Cultural Amnesia, Expressive Individualism, and the Road to Sexual Revolution']"
$19.96,4.5 out of 5 stars,['Lady Bird Johnson: Hiding in Plain Sight']
$18.00,4.9 out of 5 stars,['The Mamba Mentality: How I Play']
$19.96,4.7 out of 5 stars,['The Immortal Life of Henrietta Lacks']
$19.96,4.9 out of 5 stars,['With the Old Breed: At Peleliu and Okinawa']
$23.36,4.1 out of 5 stars,"['To Raise a Boy: Classrooms, Locker Rooms, Bedrooms, and the Hidden Struggles of American Boyhood']"
$23.36,4.8 out of 5 stars,"[""Long Range Shooting Handbook: The Complete Beginner's Guide to Precision Rifle Shooting""]"
$25.20,5.0 out of 5 stars,"[""Dear Bob: Bob Hope's Wartime Correspondence with the G.I.s of World War II""]"
$13.84,4.8 out of 5 stars,['The Gift: 12 Lessons to Save Your Life']
$18.87,4.6 out of 5 stars,"[""Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion""]"
$17.99,4.8 out of 5 stars,"[""Can't Hurt Me: Master Your Mind and Defy the Odds - Clean Edition""]"
$0.00,4.8 out of 5 stars,"[""Can't Hurt Me: Master Your Mind and Defy the Odds""]"
$0.00,4.8 out of 5 stars,['The Crystal Bible']
$23.49,4.8 out of 5 stars,"[""My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies""]"
$23.49,4.8 out of 5 stars,['All Creatures Great and Small']
$14.77,4.7 out of 5 stars,"['The Secret Apartment: Vet Stadium, a surreal memoir']"
$0.00,4.8 out of 5 stars,['Born a Crime: Stories from a South African Childhood']
$0.00,4.7 out of 5 stars,['Tiny Beautiful Things: Advice on Love and Life from Dear Sugar']
$0.00,4.4 out of 5 stars,"['If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood']"
$16.99,4.7 out of 5 stars,"['KG: A to Z: An Uncensored Encyclopedia of Life, Basketball, and Everything in Between']"
$20.39,4.7 out of 5 stars,['AMORALMAN: A True Story and Other Lies']
$34.98,4.9 out of 5 stars,"['Dolly Parton, Songteller: My Life in Lyrics']"
$25.49,4.5 out of 5 stars,['Norma Kamali: I Am Invincible']
$13.49,4.9 out of 5 stars,['Black Heroes: A Black History Book for Kids: 51 Inspiring People from Ancient Africa to Modern-Day U.S.A.']
$13.49,4.8 out of 5 stars,['Just Mercy: A Story of Justice and Redemption']
$14.90,4.7 out of 5 stars,['Between the World and Me']
$12.84,4.5 out of 5 stars,['Wintering: The Power of Rest and Retreat in Difficult Times']
$17.99,3.4 out of 5 stars,['Own It: The Secret to Life']
$10.29,4.6 out of 5 stars,"[""The Millionaire Next Door: The Surprising Secrets of America's Wealthy""]"
$21.22,4.7 out of 5 stars,"['The Three Mothers: How the Mothers of Martin Luther King, Jr., Malcolm X, and James Baldwin Shaped a Nation']"
$21.22,4.3 out of 5 stars,['The Soul of a Woman']
$12.99,4.6 out of 5 stars,['Hidden Valley Road: Inside the Mind of an American Family']
$21.24,4.3 out of 5 stars,['Ticking Clock: Behind the Scenes at 60 Minutes']
$0.00,4.8 out of 5 stars,['The Autobiography of Malcolm X: As Told to Alex Haley']
$20.36,4.4 out of 5 stars,['The Empathy Diaries: A Memoir']
$16.04,4.6 out of 5 stars,"['Population One: Autism, Adversity, and the Will to Succeed']"
$21.00,4.9 out of 5 stars,['The Gulag Archipelago']
$9.99,4.7 out of 5 stars,['BLOODY ALPHABET: The Scariest Serial Killers Coloring Book. A True Crime Adult Gift - Full of Famous Murderers. For Adults Only. (True Crime Gifts)']
$16.98,4.4 out of 5 stars,"['My Inner Sky: On Embracing Day, Night, and All the Times in Between']"
$17.99,3.9 out of 5 stars,['Flipping Keys']
$14.69,4.3 out of 5 stars,"[""Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause""]"
$21.99,4.3 out of 5 stars,"[""F*ck It, I'll Start Tomorrow: A True Story""]"
$21.24,4.8 out of 5 stars,['The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World']
$21.24,4.8 out of 5 stars,['The Purpose Driven Life: What on Earth Am I Here For?']
$11.69,4.9 out of 5 stars,"['365 Bible and Prayers Padded Treasury - Gift for Easter, Christmas, Communions, Baptism, Birthdays, Ages 3-8']"
$11.69,4.8 out of 5 stars,['Jesus and the Disinherited']
$11.69,4.8 out of 5 stars,"[""The Complete Illustrated Children's Bible (The Complete Illustrated Children’s Bible Library)""]"
$13.49,4.8 out of 5 stars,['Flashlight Night: An Adventure in Trusting God']
$13.49,4.8 out of 5 stars,"['Relationship Goals: How to Win at Dating, Marriage, and Sex']"
$14.59,4.8 out of 5 stars,['The Armor of God']
$15.88,4.8 out of 5 stars,"[""It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered""]"
$7.19,4.8 out of 5 stars,['The Good Egg Presents: The Great Eggscape!']
$15.99,4.8 out of 5 stars,['Seamless: Understanding the Bible as One Complete Story (Member Book)']
$15.99,4.9 out of 5 stars,"['The Garden, the Curtain and the Cross (Tales That Tell the Truth)']"
$11.30,4.9 out of 5 stars,['Bronco and Friends: A Party to Remember']
$11.99,4.6 out of 5 stars,"['Book of Bunny Farts: A Cute and Funny Read Aloud Easter Picture Book For Kids and Adults, Perfect Easter Basket Gift for Boys and Girls (Farting Adventures)']"
$14.86,4.6 out of 5 stars,['Woman Evolve: Break Up with Your Fears and Revolutionize Your Life']
$8.64,4.7 out of 5 stars,['The Man God Has For You: 7 traits to Help You Determine Your Life Partner']
$13.84,4.9 out of 5 stars,['Jesus Calling: Enjoying Peace in His Presence']
$13.84,4.8 out of 5 stars,['The Itsy Bitsy Bunny']
$12.90,4.3 out of 5 stars,['Keto Cookbook For Beginners: 1000 Recipes For Quick & Easy Low-Carb Homemade Cooking']
$8.88,4.8 out of 5 stars,['Get Out of Your Head Study Guide: A Study in Philippians']
$8.88,4.9 out of 5 stars,['When God Made You']
$26.97,4.8 out of 5 stars,"[""The New Strong's Expanded Exhaustive Concordance of the Bible""]"
$16.78,4.9 out of 5 stars,['When Women Pray: 10 Women of the Bible Who Changed the World through Prayer']
$11.19,4.9 out of 5 stars,"['Life: An Obsessively Grateful, Undone by Jesus, Genuinely Happy, and Not Faking it Through the Hard Stuff Kind of 100-Day Devotional']"
$12.90,4.3 out of 5 stars,"['The Complete Air Fryer Cookbook: Amazingly Easy Recipes to Fry, Bake, Grill, and Roast with Your Air Fryer']"
$12.90,4.5 out of 5 stars,['Forks Over Knives―The Cookbook: Over 300 Recipes for Plant-Based Eating All Through the Year']
$23.99,4.8 out of 5 stars,"['100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More']"
$23.99,4.4 out of 5 stars,"['The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)']"
$23.36,4.8 out of 5 stars,"['Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)']"
$23.36,4.9 out of 5 stars,['The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler']
$23.36,4.7 out of 5 stars,"[""The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs (LITTLE, BROWN A)""]"
$18.49,4.6 out of 5 stars,['The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease']
$19.81,4.8 out of 5 stars,['Wine Folly: Magnum Edition: The Master Guide']
$25.49,4.8 out of 5 stars,['Ottolenghi Flavor: A Cookbook']
$18.60,4.8 out of 5 stars,['Ball Complete Book of Home Preserving']
$24.99,4.9 out of 5 stars,"['Zoë Bakes Cakes: Everything You Need to Know to Make Your Favorite Layers, Bundts, Loaves, and More [A Baking Book]']"
$20.99,4.9 out of 5 stars,"['Come On Over: 111 Fantastic Recipes for the Family That Cooks, Eats, and Laughs Together']"
$22.94,4.9 out of 5 stars,"[""The 30-Day Alzheimer's Solution: The Definitive Food and Lifestyle Guide to Preventing Cognitive Decline""]"
$15.60,4.8 out of 5 stars,['Instant Loss on a Budget: Super-Affordable Recipes for the Health-Conscious Cook']
$19.39,4.6 out of 5 stars,"['Cook Once, Eat All Week: 26 Weeks of Gluten-Free, Affordable Meal Prep to Preserve Your Time & Sanity']"
$21.54,4.7 out of 5 stars,['End Your Carb Confusion: A Simple Guide to Customize Your Carb Intake for Optimal Health']
$10.97,4.6 out of 5 stars,"['Simple & Safe Baby-Led Weaning: How to Integrate Foods, Master Portion Sizes, and Identify Allergies']"
$21.75,4.5 out of 5 stars,"['Food: What the Heck Should I Cook?: More than 100 Delicious Recipes--Pegan, Vegan, Paleo, Gluten-free, Dairy-free, and More--For Lifelong Health']"
$21.01,4.7 out of 5 stars,"['Keto Meal Prep by FlavCity: 125+ Low Carb Recipes That Actually Taste Good (Keto Cookbook, Keto Diet Recipes, Keto Foods, Keto Dinner Ideas) (FlavCity)']"
$9.49,4.4 out of 5 stars,['Diabetic Cookbook and Meal Plan for the Newly Diagnosed: A 4-Week Introductory Guide to Manage Type 2 Diabetes']
$9.49,4.5 out of 5 stars,['The Blue Zones Kitchen: 100 Recipes to Live to 100']
$18.94,4.8 out of 5 stars,"['The How Not to Diet Cookbook: 100+ Recipes for Healthy, Permanent Weight Loss']"
$0.00,4.6 out of 5 stars,"['Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed']"
$0.00,4.8 out of 5 stars,['Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)']
$14.55,4.7 out of 5 stars,['When Breath Becomes Air']
$14.55,4.5 out of 5 stars,['The Art Of War']
$14.55,4.5 out of 5 stars,"[""You're Leaving When?: Adventures in Downward Mobility""]"
$20.77,4.4 out of 5 stars,"['The House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed']"
$20.77,4.8 out of 5 stars,['The Hiding Place']
$20.39,4.7 out of 5 stars,['Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation']
$20.39,4.8 out of 5 stars,['I Know Why the Caged Bird Sings']
$6.97,4.7 out of 5 stars,"['Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past-Life Therapy That Changed Both Their Lives']"
$12.31,4.5 out of 5 stars,['Let Me Tell You What I Mean']
$14.99,4.6 out of 5 stars,['One Up On Wall Street: How To Use What You Already Know To Make Money In The Market']
$23.48,4.1 out of 5 stars,"['Last Call: A True Story of Love, Lust, and Murder in Queer New York']"
$23.48,4.7 out of 5 stars,['The Spy and the Traitor: The Greatest Espionage Story of the Cold War']
$12.99,4.6 out of 5 stars,['A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II']
$12.99,4.5 out of 5 stars,['Hillbilly Elegy: A Memoir of a Family and Culture in Crisis']
$12.99,4.8 out of 5 stars,['Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present']
$12.99,4.4 out of 5 stars,['The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance']
$20.39,4.8 out of 5 stars,"['Bravey: Chasing Dreams, Befriending Pain, and Other Big Ideas']"
$0.00,4.8 out of 5 stars,['The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company']
$0.00,4.8 out of 5 stars,['Shoe Dog: A Memoir by the Creator of Nike']
$0.00,4.9 out of 5 stars,['Another Gospel?: A Lifelong Christian Seeks Truth in Response to Progressive Christianity']
$0.00,4.6 out of 5 stars,['The Glass Castle: A Memoir']
$18.50,4.6 out of 5 stars,"['Pappyland: A Story of Family, Fine Bourbon, and the Things That Last']"
$21.00,4.7 out of 5 stars,['DARK AGENDA: The War to Destroy Christian America']
$20.39,4.6 out of 5 stars,['Behold a Pale Horse']
$9.49,4.7 out of 5 stars,"[""A People's History of the United States""]"
$18.50,4.6 out of 5 stars,['Killers of the Flower Moon: The Osage Murders and the Birth of the FBI']
$18.50,4.9 out of 5 stars,['Obama: An Intimate Portrait']
$18.50,4.5 out of 5 stars,['Into the Wild']
$18.50,4.8 out of 5 stars,['Everything You Need to Ace World History in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks)']
$18.50,4.7 out of 5 stars,['On Tyranny: Twenty Lessons from the Twentieth Century']
$23.99,3.6 out of 5 stars,['Plunder: A Memoir of Family Property and Nazi Treasure']
$21.24,4.3 out of 5 stars,"['The Princess Spy: The True Story of World War II Spy Aline Griffith, Countess of Romanones']"
$22.49,4.7 out of 5 stars,"[""100 Deadly Skills: COMBAT EDITION: A Navy SEAL's Guide to Crushing Your Enemy, Fighting for Your Life, and Embracing Your Inner Badass""]"
$22.49,4.8 out of 5 stars,['Who Was Dr. Seuss?']
$26.99,4.8 out of 5 stars,"['Nadiya Bakes: Over 100 Must-Try Recipes for Breads, Cakes, Biscuits, Pies, and More']"
